,osm_id,build_name
208,82091085,Lockhart House
209,85320697,French Mission Build
210,85320726,Champion Tower
211,85320844,"The Murray, Hong Kong,"
212,85460162,ank of America Tower
213,87276771,Block 1
214,91207915,Riviera Lodge
215,92191867,Merry-Go-Round
216,92191874,HKJC Sichuan Trea
217,92191878,Waterfront Station
218,92191886,Summit Station
219,92191890,Whiskers Theatre
220,92241245,Pacific Chandlers
221,92241267,Maritime Point
222,92241272,Cafe Ocean
223,92241279,Summit
224,92241283,Shark Mystique
225,92241287,angtze Aquarium
226,92241292,Ocean Theatre
227,92295058,Waterfront
228,92295062,oca Cola Store
229,94271330,Police Museum
230,94670127,Nan Fung Centre
231,96193462,D 鈥 Park
232,96197169,Tsuen King Circuit Sports Cen
233,96200031,Tsuen Wan Multi-stor
234,96779589,Tung Chung Development Pier
235,96843406,Tin Hau Temple
236,96843417,Murray House
237,96936293,Grand Aquarium
238,97700160,The Swir
239,97700165,Cape D'Aguilar Submarine C
240,97700167,The Swir
241,97700179,The Swir
242,97700181,The Swir
243,97700183,Cape D'Aguilar Lighthouse
244,98409238,Tai Miu/Tin Hau Temple
245,98478375,Saint Teresa's Church
246,98494486,Jockey Club Sarah Roe Scho
247,98494488,Peel Block
248,99149401,Kowloon Park Sports Centre
249,99150699,Hong Kong Heritage Discove
250,99295273,Block A
251,99733711,Activity Centre
252,99733717,Science Block
253,99733720,The Jockey Club Sarah Roe
254,99733721,New Block
255,99733727,Link Block
256,99979780,Yuk Tao House
257,99979781,Hiu Tao House
258,99979782,Ying Tao House
259,99979783,Fai Tao House
260,99980171,Tung Ning House
261,99980172,Oi Po House
262,99980173,Tung Chi House
263,99980174,Tung Lai House
264,99980175,Tung King House
265,99980176,Tung Hiu House
266,99981679,Oi Yat House
267,99981682,Aldrich Bay Integ
268,99981683,Oi Sin House
269,99981684,Oi Ping House
270,99981688,Oi Yuk House
271,99981690,Oi Tung Shopping Centre
272,99981691,Oi Chak House
273,99982116,Block 4
274,99982117,Block 9
275,99982118,Block 5
276,99982119,Block 8
277,99982120,Block 6
278,99982121,Block 3
279,99982122,Block 7
280,99982123,Block 10
281,99982296,Block 1
282,99982297,Block 2
283,100007154,Tower 4
284,100007157,Tower 2
285,100007158,Tower 3
286,100007159,Tower 1
287,100008757,Tower 2
288,100008759,Tower 3
289,100008761,Tower 5
290,100008763,Sai Wan Ho Health Centre
291,100008764,Tower 1
292,100008765,Eastern Law Courts Building
293,100008766,Tower 6
294,100009673,On Hiu Mansion
295,100009676,On Ping Mansion
296,100009678,On Chak Mansion
297,100009681,On Ming Mansion
298,100009684,On Tsui Mansion
299,100010034,Yee Hoi Mansion
300,100010035,Yee Yun Mansion
301,100010036,Yee Qun Mansion
302,100010037,Yee Cheung Mansion
303,100010202,Hong Kong Film Archive
304,100011495,Kwun Hoi Mansion
305,100011497,Yat Wah Mansion
306,100011498,Kwun Fung Mansion
307,100011499,Yat Wing Mansion
308,100011500,Yat Hong Mansion
309,100011501,Kwun Fai Mansion
310,100011503,Kwun King Mansion
311,100011504,Yat Sing Mansion
312,100011798,Hong Shui House
313,100011955,Island East Sports Centre
314,100012392,ai On Building
315,100103865,Yiu Cheong House
316,100103866,Yiu Tung Estate Car Par
317,100103867,Yiu Ming House
318,100103868,Yiu Fai House
319,100103869,Leung Lee Sau
320,100103870,Yiu Fung House
321,100103871,Yiu Tung Shopping Centre
322,100103872,Tung Shing Court
323,100103873,Yiu Hing House
324,100103874,Yiu Kwai House
325,100103875,Yiu Tung Estate Car Par
326,100104293,Yiu Wah House
327,100104294,Yiu Wah House
328,100104295,Yiu Fook House
329,100104296,Kam Chun House
330,100104297,Yiu Lok House
331,100104298,Ngan Chun House
332,100104299,Yiu On House
333,100104300,Yiu Fu House
334,100104301,Yiu Fu House
335,100104497,Block C
336,100104499,Block B
337,100104500,Block A
338,100133123,Hing Wah (1) Estate Car Pa
339,100133963,Block 2
340,100133974,Tsui Luk House
341,100133976,Block 1
342,100135299,Block D
343,100135300,Block E
344,100135301,Block A
345,100135302,Block B
346,100135303,Block C
347,100227828,Tung Hei Court Multi-st
348,100227831,Hing Tung Shopping Centre
349,100228388,Kei Wan Church
350,100228389,Sun Sing Centre
351,100228390,Wing Yan House
352,100228394,Foon Yan House
353,100228755,Lai Man Court
354,100228756,Block 3
355,100228757,Shaukeiwan Plaza
356,100228760,Block 1
357,100228762,Block 4
358,100228763,Block 2
359,100228764,Lai Yar Court
360,100228765,Block 3
361,100228766,Block 2
362,100228767,Block 1
363,100228768,Lai Yee Court
364,100400133,Tai Shan Mansion
365,100400134,Fu Shan Mansion
366,100400135,Tung Shan Mansion
367,100400136,Wah Shan Mansion
368,100400137,Kam Shan Mansion
369,100400138,Po Shan Mansion
370,100400139,Lu Shan Mansion
371,100400140,Loong Shan Mansion
372,100400141,Yee Shan Mansion
373,100400142,Nan Shan Mansion
374,100400143,Eastern Central Plaza
375,100400146,Heng Shan Mansion
376,100400147,Foong Shan Mansion
377,100400148,Tung Ting Mansion
378,100400149,Tien Shan Mansion
379,100400150,Po Yang Mansion
380,100400151,Tai Woo Mansion
381,100403916,Gold Coast Hotel
382,100432539,Pak Hoi Mansion
383,100432547,Hang Sing Mansion
384,100432556,Kin On Mansion
385,100432565,Kam Sing Mansion
386,100432572,Shun On Mansion
387,100432582,Nam Hoi Mansion
388,100432592,Po On Mansion
389,100432599,Ning On Mansion
390,100432606,Chi Sing Mansion
391,100432614,Tung Hoi Mansion
392,100432622,Hoi Sing Mansion
393,100432634,Ngan Sing Mansion
394,100432642,Wai Sing Mansion
395,100432650,Ko On Mansion
396,100432656,Yiu Sing Mansion
397,100432666,Hing On Mansion
398,100432676,Tien Sing Mansion
399,100441109,Hsia Kung Mansion
400,100441112,Tang Kung Mansion
401,100441116,Yuan Kung Mansion
402,100441123,Ming Kung Mansion
403,100441128,Chai Kung Mansion
404,100441130,Han Kung Mansion
405,100441134,Yen Kung Mansion
406,100441140,Tsui Kung Mansion
407,100444470,Marigold Mansion
408,100444471,Primrose Mansion
409,100444472,Oak Mansion
410,100444473,Maple Mansion
411,100444474,Banyan Mansion
412,100444476,Wisteria Mansion
413,100444477,Begonia Mansion
414,100444478,Lotus Mansion
415,100444479,Juniper Mansion
416,100444483,Pine Mansion
417,100444485,Willow Mansion
418,100457766,Yat Tien Mansion
419,100457777,Fu Tien Mansion
420,100457786,Choi Tien Mansion
421,100457799,Heng Tien Mansion
422,100457805,Nam Tien Mansion
423,100457812,Kwun Tien Mansion
424,100457817,Cityplaza One
425,100457821,One Island East
426,100457825,Hoi Tien Mansion
427,100457829,Kai Tien Mansion
428,100457834,King Tien Mansion
429,100466619,Block 7
430,100466623,Block 5
431,100466627,Block 8
432,100466632,Block 9
433,100466635,Block 2
434,100466639,Block 3
435,100466644,Block 4
436,100466651,Block 1
437,100466657,Block 6
438,100466671,Block 10
439,100485764,Block J
440,100485767,Block M
441,100485768,Block P
442,100485769,Block R
443,100485770,Block Q
444,100485771,Block P
445,100485772,Block N
446,100485774,Block L
447,100485775,Block L
448,100485776,Block M
449,100485777,Block N
450,100485782,Block J
451,100485797,Block K
452,100485800,Block K
453,100485804,Block R
454,100485805,Block Q
455,100487034,Tower 2
456,100497509,Block G
457,100497516,Kornhill Recreation Club
458,100497519,Shanghai Alumni Primary School
459,100497524,Block C
460,100497535,Block H
461,100497544,Block E
462,100497553,Block F
463,100497561,Block A
464,100497570,Block D
465,100497573,Block B
466,100508203,Block 11
467,100508204,Block 6
468,100508206,Block 5
469,100508207,Block 1
470,100508208,Block 8
471,100508210,Block 12
472,100508218,Block 3
473,100508231,Block 10
474,100508237,Block 4
475,100508252,Block 9
476,100508256,Block 7
477,100508262,Block 2
478,100512369,Tower 1
479,100512377,Tower 2
480,100520145,Block A
481,100520146,Block E
482,100520147,Block C
483,100520149,Block B
484,100520150,Block D
485,100521556,Ling Pak Mansion
486,100521558,Hong Pak Mansion
487,100521559,Cheung Pak Mansion
488,100521560,Grand Plaza Apartments
489,100652717,Block E
490,100652718,Hong Fai Court
491,100652726,Hong Kong Funeral Home
492,100652729,Block D
493,100652736,Tsui Lan Mansion
494,100652744,Block A
495,100652753,Berkshire House
496,100652789,Block C
497,100652794,Hong Wang Court
498,100652797,Island Place Tower
499,100652799,Hong Cheung Court
500,100652801,Tower 2
501,100652802,Block F
502,100652805,Hong Shing Court
503,100652810,Yuk Lan Mansion
504,100652812,K. Wah Centre
505,100652813,Ngar Lan Mansion
506,100652821,Tower 1
507,100652825,Gee Lan Mansion
508,100652826,Hong Chi Court
509,100652827,Block B
510,100652830,Hong Tat Court
511,100652831,Customs Headquarters Building
512,100652832,Hong Yan Court
513,100652833,North Point Government Office
514,100656164,Shui Pak Mansion
515,100662420,Block 10
516,100662421,Block 17
517,100662422,a搴 Block 12a
518,100662423,Block 7
519,100662424,Block 14
520,100662425,Block 8
521,100662427,Block 6
522,100662429,Block 11
523,100662430,Block 16
524,100662431,Block 2
525,100662435,Block 12
526,100662438,Block 9
527,100662442,Block 3
528,100662449,Block 15
529,100662456,Block 4
530,100668212,On Fook Court
531,100668216,Pak Kai Court
532,100668221,Ka Fook Court
533,100668230,Pak Cheung Court
534,100668234,Pak Hee Court
535,100668244,Hong Fook Court
536,100668248,Tak Fook Court
537,100668252,Pak Lee Court
538,100668257,Hung Fook Court
539,100668265,King Fook Court
540,100668271,Pak Tak Court
541,100668282,Pak Sing Court
542,100673200,Block C
543,100673206,Block F
544,100673213,Block E
545,100673214,Block A
546,100673223,Block B
547,100673230,Block D
548,100676043,Block 1
549,100676055,Block 3
550,100676060,Block 2
551,100681949,Golden Peach Court
552,100681950,Golden Cassia Court
553,100681951,Golden Cedar Court
554,100681952,Golden Pine Court
555,100681953,Full Wealth Gardens
556,100681954,Golden Maple Court
557,100684080,Block 1
558,100684083,Block 5
559,100684086,Block 3
560,100684092,Block 4
561,100684094,Block 2
562,100687598,Metropole Building
563,100768015,Tung Wah Museum
564,100788584,Block 31
565,100788588,Block 3
566,100788591,Block 47
567,100788595,Block 37
568,100788601,Block 42
569,100788602,Block 23
570,100788603,Block F
571,100788604,Block 43
572,100788605,Block 29
573,100788606,Block 25
574,100788607,Block B
575,100788609,Block D
576,100788610,Block 33
577,100788612,Block G
578,100788613,Block J
579,100788615,Block H
580,100788618,Block 26
581,100788620,Block 28
582,100788621,Lancashire Centre
583,100788622,Block 24
584,100788623,Block I
585,100788624,Block 50
586,100788626,Block A
587,100788627,Block 2
588,100788628,Block 49
589,100788630,Salesian Engli
590,100788631,Shau Kei Wan Jockey Clu
591,100788632,Block 36
592,100788633,Block 35
593,100788634,Block 39
594,100788636,Block 1
595,100788637,Block 34
596,100788639,Salesian School(Secondar
597,100788640,Block 27
598,100788641,Hang Tung Resources Centre
599,100788642,Block 48
600,100788643,Block 41
601,100788650,Block 30
602,100788653,Block 46
603,100788654,Block 32
604,100788655,Block 40
605,100788656,Salesian School(Secondar
606,100788657,Block E
607,100788658,Block 22
608,100788659,Li Shu Fong Building
609,100788660,Block 45
610,100788663,Block C
611,100788664,Block 38
612,100793422,Heng Fa Chuen Club
613,100822232,Block 16
614,100822234,Block 13
615,100822235,Block 6
616,100822236,Block 11
617,100822237,Block 21
618,100822238,Block 8
619,100822239,Block 9
620,100822240,Block 3
621,100822241,Creative Kindergarten
622,100822242,Block 19
623,100822243,Block 17
624,100822244,Block 4
625,100822245,Block 18
626,100822248,Block 1
627,100822249,Block 7
628,100822250,Block 2
629,100822251,Block 12
630,100822252,Block 10
631,100822253,Block 15
632,100822254,Block 20
633,100822256,Block 5
634,100822968,Heng Fa Villa
635,100822977,Heng Fa Villa Multi-sto
636,100824558,co
637,100834623,Block 1
638,100834628,Block 3
639,100834632,Block 4
640,100834637,Block 2
641,100834640,Block 5
642,100834642,Block 8
643,100834646,Block 6
644,100834648,Block 7
645,100845981,Tower 7
646,100845983,Tower 6
647,100845986,Tower 1
648,100845988,Tower 3
649,100845990,Tower 9
650,100845992,Tower 8
651,100845996,Tower 2
652,100845998,Tower 5
653,100848849,Cheerful Garden Mult
654,100848851,Block 1
655,100848858,Block 5
656,100848861,Block 4
657,100848870,Block 2
658,100848874,Block 3
659,100850636,Block 11
660,100850640,Block 9
661,100850646,Block 1
662,100850651,Block 8
663,100850652,Block 6
664,100850653,Fullview Shopping Centre
665,100850654,Block 4
666,100850655,Block 10
667,100850656,Block 5
668,100850657,Block 2
669,100850658,Block 3
670,100850659,Block 7
671,100984392,Bik Tsui House
672,100984394,Sui Moon House
673,100984395,Siu Sai Wan Estate Phase 3
674,100984398,KH CHAIWAN ST' MICHAEL'S COLLEGE
675,100984401,Tsui Ning House
676,100984403,Tsui Fuk House
677,100984404,Hin Tsui House
678,100984406,Yue Fung House
679,100984407,Sui Keung House
680,100984410,Sui Ming House
681,100984412,Ngar Tsui House
682,100984414,HKCAAVQ
683,100984423,Yiu Tsui House
684,100984428,Tsui Shou House
685,100984429,Sui Hei House
686,100984430,Tsui Ching House
687,100984431,Hang Tsui Court Multi-s
688,100984432,Yue Shun House
689,100984433,Siu Sai Wan Plaza
690,100984436,Sui Tai House
691,100984437,Sui Lung House
692,100984438,Yue On House
693,100984439,Sui Yick House
694,100984440,Sui Fuk House
695,100984442,Sui Lok House
696,100984443,Yue Tai House
697,100984444,Sui Shing House
698,100984446,Sui Fu House
699,100984448,Sui Fat House
700,100984449,Yue Wan Community Hall
701,100984450,Tsui Ying House
702,100984452,Hiu Tsui Court Car Park
703,100984456,Tsui Hong House
704,101036437,Block 2
705,101036441,Yat Yee House
706,101036454,Block 4
707,101036459,Yue Wan Market Building
708,101036460,Block 2
709,101036464,Block A
710,101036469,Tak Fook House
711,101036473,Lee Tsui House
712,101036477,Chai Wan Sports Centre
713,101036480,Tak Hay House
714,101036483,Block 5
715,101036486,Block A
716,101036489,Block C
717,101036500,Block 4
718,101036506,Kwai Tsui House
719,101036510,Tak Luk House
720,101036516,Yan Wing House
721,101036520,Wan Tsui Commercial Centre
722,101036523,Yue Wan Market Building
723,101036524,Cheong Yee House
724,101036529,Block B
725,101036530,Yan Wah House
726,101036532,Wai Tsui House
727,101036536,Yee Tsui House
728,101036539,Block 1
729,101036541,Chak Tsui House
730,101036549,Hei Tsui House
731,101036556,Mei Tsui House
732,101036558,Shing Tsui House
733,101036568,Chai Wan Municipal Services B
734,101036575,Yat Tsui House
735,101036576,Block B
736,101036584,Block C
737,101036594,Block 5
738,101036599,Block 6
739,101036602,Fook Tsui House
740,101036605,Tak Fook House
741,101036608,Block 3
742,101036614,Lok Yee House
743,101036620,Fu Tsui House
744,101036623,Block 3
745,101036628,Block 1
746,101068434,Hing Tsui House
747,101068435,Chin Hing House
748,101068438,On Hing House
749,101068439,Ning Hing House
750,101068440,Lok Hing House
751,101068442,Hing Wah (2) Estate Market
752,101068443,May Wah House
753,101068445,Yu Hing House
754,101068446,Fung Hing House
755,101068448,Wo Hing House
756,101068449,Cheuk Wah House
757,101077284,Hiu Fung House
758,101077287,Hing Man Shopping Centre
759,101077291,Man Fu House
760,101077300,Man Chak House
761,101077301,Man Yat House
762,101077303,Sau Fung House
763,101122639,Mau Wu Shan Observation Post
764,101211322,Block 7
765,101211326,Block 2
766,101211328,Block 3
767,101211332,Block 2
768,101211339,Block 4
769,101211345,Block 5
770,101211347,Block 1
771,101211351,Block 4
772,101211358,Block 6
773,101211359,Block 3
774,101211362,Block 3
775,101211364,Block 2
776,101211365,Block 1
777,101211368,Bayview Park
778,101211369,Block 1
779,101212319,Shing King Industrial Buildin
780,101212323,Hong Man Industrial Centre
781,101227818,Block D
782,101227819,Block G
783,101227821,Block B
784,101227823,Block F
785,101227826,Polyclinic Block
786,101227827,Block A
787,101227829,Block C
788,101227831,Block E
789,101494149,Marine Life Centre
790,101494150,The Jockey Clu
791,101691261,Fu Tung Plaza
792,101954016,Aegean Coast Shopping Arcade
793,101956068,Tung Chung Health Centre
794,101956069,Tung Chung Health Centre
795,101956366,Tower 7
796,101958995,Block 13
797,101959010,Block C
798,101959022,Fu Kar Court
799,101959029,Block C
800,101959034,Block 3
801,101959048,Block 10
802,101959065,North Point Market
803,101959069,Block 1
804,101959075,Block 1
805,101959081,Technology Plaza
806,101959088,Fullview Court
807,101959095,Chine
808,101959110,Fu Bon Court
809,101959130,Block 4
810,101959140,Block 6
811,101959153,Low Block
812,101959158,Block A
813,101959161,Block 5
814,101959166,East Wing
815,101959174,Block 8
816,101959182,Block 9
817,101959195,lake Block
818,101959199,Block 12
819,101959206,Block D
820,101959219,Chief Executive鈥檚 Office
821,101959221,Fu Dat Court
822,101959231,Block 2
823,101959236,Anne Black Health Centr
824,101959238,Fortress Metro Tower
825,101959257,Block 11
826,101959277,methyst Block
827,101959280,Block B
828,101959294,Block B
829,101959315,Block 2
830,101959326,Electric Road Municipal Se
831,101959329,Block 7
832,101959336,City Hall Car Park
833,101959345,Block 2
834,101959360,City Garden Hotel
835,101959368,Causeway Bay Community Cen
836,101959372,Block 14
837,101959377,Block A
838,101959386,Fu Wai Court
839,101964004,Tung Chung Sewage Pumping
840,101964017,Tung Chung Wan Telephone E
841,101964257,Fu Tung Estate Car Park A
842,101986308,Tower 2
843,101986310,Block 10
844,101986311,Block 12
845,101986312,Block 16
846,101986314,Block 2
847,101986316,Block 2
848,101986318,Block 14
849,101986320,Block 5
850,101986321,Block 7
851,101986323,Block 17
852,101986326,Block 4
853,101986327,Block 15
854,101986330,Block 9
855,101986331,Block 10
856,101986333,Block 6
857,101986334,Block 1
858,101986337,Sung Fung Court
859,101986343,Tower 1
860,101986344,Block 8
861,101986349,Block 3
862,101986353,Ko Fung Court
863,101986354,Block 15
864,101986357,Block 7
865,101986358,Block 11
866,101986360,Block 6
867,101986361,Block 12
868,101986363,Block 11
869,101986364,Block 13
870,101986367,Block 9
871,101986370,Block 3
872,101986376,Nam Fung Court
873,101986383,Block 5
874,102141136,Airport Island Angle Station
875,102161576,Gold Coast Piazza
876,102227188,Hong Kong Federation of
877,102240442,Hoi Lai Shopping Centre
878,102241483,Kerry Godown (Hung Kai)
879,102241565,Water Supplies Depar
880,102241593,Ying Wa Primary School
881,102241596,Cheung Sha Wan Wh
882,102241600,Cheung Sha Wan Whole
883,102241903,Tower 1
884,102256410,Hong Kong Coliseum
885,102368457,Shining Heights
886,102411823,Anchor Street Refuse Co
887,102411832,Langham Place The Mall
888,102411834,Tai Kok Tsui Municipal Ser
889,102413793,Tung Chung Commun
890,102438025,Mongkok Complex
891,102566577,Gold Coast Yacht and Count
892,102566580,Gold Coast Yacht and Count
893,103001770,Sheung Yiu Folk Museum
894,103291792,Tin Hau Temple
895,103745631,Tower 4
896,103745632,Tower 1
897,103745634,Tower 2
898,103745635,Tower 5
899,103745636,Tower 3
900,104251508,Block 1
901,104251515,Fong Yun-wah Building
902,104251525,Mong Man-wai Building
903,104251529,Yeung Kin Man Academic Buildi
904,104251541,To Yuen Building
905,104251553,Block 2
906,104278751,Block A
907,104278759,Block B
908,104286710,Block 2
909,104286714,Block 1
910,104286719,Causeway Bay Market
911,104792983,Tower 12
912,104792985,Tower 7
913,104792988,Tower 20
914,104792989,Tower 11
915,104792993,Tower 21
916,104792998,Tower 16
917,104792999,Tower 10
918,104793000,Tower 9
919,104793004,Tower 19
920,104793006,Tower 18
921,104793012,Tower 8
922,104793014,Tower 6
923,104793015,Hong Kong Gold Co
924,104793016,Tower 15
925,104793017,Tower 17
926,104977578,Tower 30
927,104977580,Tower 25
928,104977583,Tower 31
929,104977584,Tower 32
930,104977586,Tower 29
931,104977587,Tower 28
932,104977590,Tower 26
933,104977594,Tower 33
934,104977597,Tower 27
935,104977598,Tower 22
936,104977600,Tower 23
937,105025279,Metropolis Tower
938,105612493,Ko Shan Theatre
939,106034096,To Kwa Wan Sports Centre
940,107139024,Pi Ch'iu Building
941,107139025,Cho Yiu Conference Hall
942,107139026,Sui Loong Pao Building
943,107139028,Pentecostal Mission Hall C
944,107139029,Pentecostal Mission Hall C
945,107139030,Sir Run Run Shaw Hall
946,107139044,Run Run Shaw Science Building
947,107302745,Gloucester Tower
948,107302749,York House
949,107302750,Edinburgh Tower
950,107324767,AIA Central
951,107336259,Office Tower II
952,107336260,Tower 1
953,107336262,Office Tower I
954,107336263,Tower 2
955,107353963,CITIC Tower
956,107358580,Arsenal House West Wing
957,107358582,Hong Kong Police
958,107497680,The High Court
959,107497684,Block B
960,107497685,The St. Regis Hong Kong
961,107497686,Wan Chai Police Station
962,107497689,Convention Plaza Office
963,107497691,Block C
964,107497692,Convention Plaza
965,107497693,ICBC Tower
966,107497695,St. John's Cathedral
967,107497699,Grand Hyatt Hotel
968,107497701,China Resources Building
969,107497702,t. John's Cathedral Office
970,107497703,Sun Hung Kai Centre
971,107497704,Telecom House
972,107497707,Renaissance Hong Kong Harbour
973,107497710,Block A
974,108037390,Tsz Wan Shan Shopping Centre
975,108849549,Lung Tai House
976,108849551,Temple Mall South
977,108849552,Lung Lok House
978,108849554,Lung Hong House
979,108849561,Lung Gut House
980,108849563,Wong Tai Si
981,108849570,Lung Cheong House
982,108849571,Lung Chi House
983,108849573,Tower 2
984,108849574,Lung Shing House
985,108849575,Lung Hing House
986,108849576,Lung Yat House
987,108849577,Lung Wah House
988,108849580,Lung Moon House
989,108849587,Lung Wing House
990,108849588,Lung Wo House
991,108849589,Lung Fung House
992,108849592,Lung Fook House
993,108849594,Tower 1
994,108849595,Lung Wai House
